Chosen atom: Atom: Y2, Position: [-2.206227  2.54016   1.972179]

((-0.69392, 4.99968, -9.02729), 1/2, -0.2748308, 'Y2')
((-9.99367, 2.4528, -1.2504), 1/2, -0.2748308, 'Y1')
((8.15612, 5.8128, -2.69396), 1/2, -0.2748308, 'Y1')
((2.28725, 0.0, -10.16587), 1/2, -0.2748308, 'Y2')
((-2.28725, 0.0, 10.16587), 1/2, -0.2748308, 'Y2')
((3.64996, -7.53312, -6.33334), 1/2, -0.2748308, 'Y1')
((-6.25, -8.44032, 0.0), 1/2, -0.2748308, 'Y2')
((6.25, -8.44032, 0.0), 1/2, -0.2748308, 'Y2')
((5.55608, 0.0, -9.02729), 1/2, -0.2748308, 'Y2')
((-0.38113, -7.53312, 7.47191), 1/2, -0.2748308, 'Y1')
((2.1252, 8.35968, 6.22151), 1/2, -0.2748308, 'Y2')
((9.51883, 4.99968, 1.13858), 1/2, -0.2748308, 'Y2')
((-8.85004, -0.81312, -6.33334), 1/2, -0.2748308, 'Y1')
((-9.99367, -4.2672, -1.2504), 1/2, -0.2748308, 'Y1')
((8.37521, -3.36, 6.22151), 1/2, -0.2748308, 'Y2')
((8.37521, 3.36, 6.22151), 1/2, -0.2748308, 'Y2')
((-10.59388, -0.81312, -2.69396), 1/2, -0.2748308, 'Y1')
((-1.83755, -10.08, -3.94436), 1/2, -0.2748308, 'Y2')
((-1.83755, 10.08, -3.94436), 1/2, -0.2748308, 'Y2')
((-5.4875, 9.26688, 2.38898), 1/2, -0.2748308, 'Y1')
((-3.96275, -1.72032, -10.16587), 1/2, -0.2748308, 'Y2')
((3.96275, -1.72032, 10.16587), 1/2, -0.2748308, 'Y2')
((-6.03092, 2.54688, 8.91547), 1/2, -0.2748308, 'Y1')
((5.86887, 5.8128, 7.47191), 1/2, -0.2748308, 'Y1')
((0.7625, -10.9872, 2.38898), 1/2, -0.2748308, 'Y1')
((6.46908, 2.54688, 8.91547), 1/2, -0.2748308, 'Y1')
((2.50633, -10.9872, -1.2504), 1/2, -0.2748308, 'Y1')
((0.98158, 0.0, 11.30445), 1/2, -0.2748308, 'Y2')
((-6.94392, 0.0, -9.02729), 1/2, -0.2748308, 'Y2')
((7.61271, -7.6272, 3.83253), 1/2, -0.2748308, 'Y1')
((-9.23117, -6.72, 1.13858), 1/2, -0.2748308, 'Y2')
((-9.23117, 6.72, 1.13858), 1/2, -0.2748308, 'Y2')
((8.15612, -7.6272, -2.69396), 1/2, -0.2748308, 'Y1')
