Chosen atom: Atom: Y, Position: [-0.       -1.779575  0.786162]

((3.55915, 7.1183, 4.71698), 7/2, 1.4711, 'V')
((0.0, 0.0, -9.43395), 7/2, 1.4711, 'V')
((0.0, 0.0, 9.43395), 7/2, 1.4711, 'V')
((-7.1183, 0.0, -6.2893), 1/2, -0.2748308, 'Y')
((-7.1183, 0.0, 6.2893), 1/2, -0.2748308, 'Y')
((0.0, -7.1183, -6.2893), 1/2, -0.2748308, 'Y')
((0.0, -7.1183, 6.2893), 1/2, -0.2748308, 'Y')
((0.0, 7.1183, -6.2893), 1/2, -0.2748308, 'Y')
((0.0, 7.1183, 6.2893), 1/2, -0.2748308, 'Y')
((7.1183, 0.0, -6.2893), 1/2, -0.2748308, 'Y')
((7.1183, 0.0, 6.2893), 1/2, -0.2748308, 'Y')
((-7.1183, -7.1183, 0.0), 1/2, -0.2748308, 'Y')
((-7.1183, 7.1183, 0.0), 1/2, -0.2748308, 'Y')
((7.1183, -7.1183, 0.0), 1/2, -0.2748308, 'Y')
((7.1183, 7.1183, 0.0), 1/2, -0.2748308, 'Y')
((-7.1183, -7.1183, -3.14465), 7/2, 1.4711, 'V')
((-7.1183, -7.1183, 3.14465), 7/2, 1.4711, 'V')
((-7.1183, 7.1183, -3.14465), 7/2, 1.4711, 'V')
((-7.1183, 7.1183, 3.14465), 7/2, 1.4711, 'V')
((7.1183, -7.1183, -3.14465), 7/2, 1.4711, 'V')
((7.1183, -7.1183, 3.14465), 7/2, 1.4711, 'V')
((7.1183, 7.1183, -3.14465), 7/2, 1.4711, 'V')
((7.1183, 7.1183, 3.14465), 7/2, 1.4711, 'V')
((-3.55915, -3.55915, -9.43395), 1/2, -0.2748308, 'Y')
((-3.55915, -3.55915, 9.43395), 1/2, -0.2748308, 'Y')
((-3.55915, 3.55915, -9.43395), 1/2, -0.2748308, 'Y')
((-3.55915, 3.55915, 9.43395), 1/2, -0.2748308, 'Y')
((3.55915, -3.55915, -9.43395), 1/2, -0.2748308, 'Y')
((3.55915, -3.55915, 9.43395), 1/2, -0.2748308, 'Y')
((3.55915, 3.55915, -9.43395), 1/2, -0.2748308, 'Y')
((3.55915, 3.55915, 9.43395), 1/2, -0.2748308, 'Y')
((0.0, -10.67745, -1.57232), 1/2, -0.2748308, 'Y')
((0.0, 10.67745, -1.57232), 1/2, -0.2748308, 'Y')
((-10.67745, 0.0, 1.57233), 1/2, -0.2748308, 'Y')
((10.67745, 0.0, 1.57233), 1/2, -0.2748308, 'Y')
((0.0, -10.67745, 1.57233), 7/2, 1.4711, 'V')
((0.0, 10.67745, 1.57233), 7/2, 1.4711, 'V')
((-10.67745, 0.0, -1.57232), 7/2, 1.4711, 'V')
((10.67745, 0.0, -1.57232), 7/2, 1.4711, 'V')
((-7.1183, -3.55915, -7.86162), 1/2, -0.2748308, 'Y')
((-7.1183, 3.55915, -7.86162), 1/2, -0.2748308, 'Y')
((7.1183, -3.55915, -7.86162), 1/2, -0.2748308, 'Y')
((7.1183, 3.55915, -7.86162), 1/2, -0.2748308, 'Y')
((-3.55915, -7.1183, 7.86162), 1/2, -0.2748308, 'Y')
((-3.55915, 7.1183, 7.86162), 1/2, -0.2748308, 'Y')
((3.55915, -7.1183, 7.86162), 1/2, -0.2748308, 'Y')
((3.55915, 7.1183, 7.86162), 1/2, -0.2748308, 'Y')
((-7.1183, -3.55915, 7.86162), 7/2, 1.4711, 'V')
((-7.1183, 3.55915, 7.86162), 7/2, 1.4711, 'V')
((7.1183, -3.55915, 7.86162), 7/2, 1.4711, 'V')
((7.1183, 3.55915, 7.86162), 7/2, 1.4711, 'V')
((-3.55915, -7.1183, -7.86162), 7/2, 1.4711, 'V')
((-3.55915, 7.1183, -7.86162), 7/2, 1.4711, 'V')
((3.55915, -7.1183, -7.86162), 7/2, 1.4711, 'V')
((3.55915, 7.1183, -7.86162), 7/2, 1.4711, 'V')
((-10.67745, -3.55915, 0.0), 7/2, 1.4711, 'V')
((-10.67745, 3.55915, 0.0), 7/2, 1.4711, 'V')
((-3.55915, -10.67745, 0.0), 7/2, 1.4711, 'V')
((-3.55915, 10.67745, 0.0), 7/2, 1.4711, 'V')
((3.55915, -10.67745, 0.0), 7/2, 1.4711, 'V')
((3.55915, 10.67745, 0.0), 7/2, 1.4711, 'V')
((10.67745, -3.55915, 0.0), 7/2, 1.4711, 'V')
((10.67745, 3.55915, 0.0), 7/2, 1.4711, 'V')
((0.0, -3.55915, 11.00628), 1/2, -0.2748308, 'Y')
((0.0, 3.55915, 11.00628), 1/2, -0.2748308, 'Y')
((-3.55915, 0.0, -11.00627), 1/2, -0.2748308, 'Y')
((3.55915, 0.0, -11.00627), 1/2, -0.2748308, 'Y')
((0.0, -3.55915, -11.00627), 7/2, 1.4711, 'V')
((0.0, 3.55915, -11.00627), 7/2, 1.4711, 'V')
((-3.55915, 0.0, 11.00628), 7/2, 1.4711, 'V')
((3.55915, 0.0, 11.00628), 7/2, 1.4711, 'V')
((0.0, -10.67745, 4.71698), 1/2, -0.2748308, 'Y')
((0.0, 10.67745, 4.71698), 1/2, -0.2748308, 'Y')
((-10.67745, 0.0, -4.71697), 1/2, -0.2748308, 'Y')
((10.67745, 0.0, -4.71697), 1/2, -0.2748308, 'Y')
((0.0, -10.67745, -4.71697), 7/2, 1.4711, 'V')
((0.0, 10.67745, -4.71697), 7/2, 1.4711, 'V')
((-10.67745, 0.0, 4.71698), 7/2, 1.4711, 'V')
((10.67745, 0.0, 4.71698), 7/2, 1.4711, 'V')
((-10.67745, -3.55915, -3.14465), 1/2, -0.2748308, 'Y')
((-10.67745, -3.55915, 3.14465), 1/2, -0.2748308, 'Y')
((-10.67745, 3.55915, -3.14465), 1/2, -0.2748308, 'Y')
((-10.67745, 3.55915, 3.14465), 1/2, -0.2748308, 'Y')
((-3.55915, -10.67745, -3.14465), 1/2, -0.2748308, 'Y')
((-3.55915, -10.67745, 3.14465), 1/2, -0.2748308, 'Y')
((-3.55915, 10.67745, -3.14465), 1/2, -0.2748308, 'Y')
((-3.55915, 10.67745, 3.14465), 1/2, -0.2748308, 'Y')
((3.55915, -10.67745, -3.14465), 1/2, -0.2748308, 'Y')
((3.55915, -10.67745, 3.14465), 1/2, -0.2748308, 'Y')
((3.55915, 10.67745, -3.14465), 1/2, -0.2748308, 'Y')
((3.55915, 10.67745, 3.14465), 1/2, -0.2748308, 'Y')
((10.67745, -3.55915, -3.14465), 1/2, -0.2748308, 'Y')
((10.67745, -3.55915, 3.14465), 1/2, -0.2748308, 'Y')
((10.67745, 3.55915, -3.14465), 1/2, -0.2748308, 'Y')
((10.67745, 3.55915, 3.14465), 1/2, -0.2748308, 'Y')
((-7.1183, 0.0, -9.43395), 7/2, 1.4711, 'V')
((-7.1183, 0.0, 9.43395), 7/2, 1.4711, 'V')
((0.0, -7.1183, -9.43395), 7/2, 1.4711, 'V')
((0.0, -7.1183, 9.43395), 7/2, 1.4711, 'V')
((0.0, 7.1183, -9.43395), 7/2, 1.4711, 'V')
((0.0, 7.1183, 9.43395), 7/2, 1.4711, 'V')
((7.1183, 0.0, -9.43395), 7/2, 1.4711, 'V')
((7.1183, 0.0, 9.43395), 7/2, 1.4711, 'V')
((-7.1183, -7.1183, -6.2893), 1/2, -0.2748308, 'Y')
((-7.1183, -7.1183, 6.2893), 1/2, -0.2748308, 'Y')
((-7.1183, 7.1183, -6.2893), 1/2, -0.2748308, 'Y')
((-7.1183, 7.1183, 6.2893), 1/2, -0.2748308, 'Y')
((7.1183, -7.1183, -6.2893), 1/2, -0.2748308, 'Y')
((7.1183, -7.1183, 6.2893), 1/2, -0.2748308, 'Y')
((7.1183, 7.1183, -6.2893), 1/2, -0.2748308, 'Y')
((7.1183, 7.1183, 6.2893), 1/2, -0.2748308, 'Y')
((0.0, 0.0, -12.5786), 1/2, -0.2748308, 'Y')
((0.0, 0.0, 12.5786), 1/2, -0.2748308, 'Y')
((-10.67745, -3.55915, -6.2893), 7/2, 1.4711, 'V')
((-10.67745, -3.55915, 6.2893), 7/2, 1.4711, 'V')
((-10.67745, 3.55915, -6.2893), 7/2, 1.4711, 'V')
((-10.67745, 3.55915, 6.2893), 7/2, 1.4711, 'V')
((-3.55915, -10.67745, -6.2893), 7/2, 1.4711, 'V')
((-3.55915, -10.67745, 6.2893), 7/2, 1.4711, 'V')
((-3.55915, 10.67745, -6.2893), 7/2, 1.4711, 'V')
((-3.55915, 10.67745, 6.2893), 7/2, 1.4711, 'V')
((3.55915, -10.67745, -6.2893), 7/2, 1.4711, 'V')
((3.55915, -10.67745, 6.2893), 7/2, 1.4711, 'V')
((3.55915, 10.67745, -6.2893), 7/2, 1.4711, 'V')
((3.55915, 10.67745, 6.2893), 7/2, 1.4711, 'V')
((10.67745, -3.55915, -6.2893), 7/2, 1.4711, 'V')
((10.67745, -3.55915, 6.2893), 7/2, 1.4711, 'V')
((10.67745, 3.55915, -6.2893), 7/2, 1.4711, 'V')
((10.67745, 3.55915, 6.2893), 7/2, 1.4711, 'V')
((-7.1183, -10.67745, -1.57232), 1/2, -0.2748308, 'Y')
((-7.1183, 10.67745, -1.57232), 1/2, -0.2748308, 'Y')
((7.1183, -10.67745, -1.57232), 1/2, -0.2748308, 'Y')
((7.1183, 10.67745, -1.57232), 1/2, -0.2748308, 'Y')
((-10.67745, -7.1183, 1.57233), 1/2, -0.2748308, 'Y')
((-10.67745, 7.1183, 1.57233), 1/2, -0.2748308, 'Y')
((10.67745, -7.1183, 1.57233), 1/2, -0.2748308, 'Y')
((10.67745, 7.1183, 1.57233), 1/2, -0.2748308, 'Y')
((-7.1183, -10.67745, 1.57233), 7/2, 1.4711, 'V')
((-7.1183, 10.67745, 1.57233), 7/2, 1.4711, 'V')
((7.1183, -10.67745, 1.57233), 7/2, 1.4711, 'V')
((7.1183, 10.67745, 1.57233), 7/2, 1.4711, 'V')
((-10.67745, -7.1183, -1.57232), 7/2, 1.4711, 'V')
((-10.67745, 7.1183, -1.57232), 7/2, 1.4711, 'V')
((10.67745, -7.1183, -1.57232), 7/2, 1.4711, 'V')
((10.67745, 7.1183, -1.57232), 7/2, 1.4711, 'V')
((0.0, -10.67745, -7.86162), 1/2, -0.2748308, 'Y')
((0.0, 10.67745, -7.86162), 1/2, -0.2748308, 'Y')
((-10.67745, 0.0, 7.86162), 1/2, -0.2748308, 'Y')
((10.67745, 0.0, 7.86162), 1/2, -0.2748308, 'Y')
((0.0, -10.67745, 7.86162), 7/2, 1.4711, 'V')
((0.0, 10.67745, 7.86162), 7/2, 1.4711, 'V')
((-10.67745, 0.0, -7.86162), 7/2, 1.4711, 'V')
((10.67745, 0.0, -7.86162), 7/2, 1.4711, 'V')
((-3.55915, -3.55915, -12.5786), 7/2, 1.4711, 'V')
((-3.55915, -3.55915, 12.5786), 7/2, 1.4711, 'V')
((-3.55915, 3.55915, -12.5786), 7/2, 1.4711, 'V')
((-3.55915, 3.55915, 12.5786), 7/2, 1.4711, 'V')
((3.55915, -3.55915, -12.5786), 7/2, 1.4711, 'V')
((3.55915, -3.55915, 12.5786), 7/2, 1.4711, 'V')
((3.55915, 3.55915, -12.5786), 7/2, 1.4711, 'V')
((3.55915, 3.55915, 12.5786), 7/2, 1.4711, 'V')
((-7.1183, -3.55915, 11.00628), 1/2, -0.2748308, 'Y')
((-7.1183, 3.55915, 11.00628), 1/2, -0.2748308, 'Y')
((7.1183, -3.55915, 11.00628), 1/2, -0.2748308, 'Y')
((7.1183, 3.55915, 11.00628), 1/2, -0.2748308, 'Y')
((-3.55915, -7.1183, -11.00627), 1/2, -0.2748308, 'Y')
((-3.55915, 7.1183, -11.00627), 1/2, -0.2748308, 'Y')
((3.55915, -7.1183, -11.00627), 1/2, -0.2748308, 'Y')
((3.55915, 7.1183, -11.00627), 1/2, -0.2748308, 'Y')
((-7.1183, -3.55915, -11.00627), 7/2, 1.4711, 'V')
((-7.1183, 3.55915, -11.00627), 7/2, 1.4711, 'V')
((7.1183, -3.55915, -11.00627), 7/2, 1.4711, 'V')
((7.1183, 3.55915, -11.00627), 7/2, 1.4711, 'V')
((-3.55915, -7.1183, 11.00628), 7/2, 1.4711, 'V')
((-3.55915, 7.1183, 11.00628), 7/2, 1.4711, 'V')
((3.55915, -7.1183, 11.00628), 7/2, 1.4711, 'V')
((3.55915, 7.1183, 11.00628), 7/2, 1.4711, 'V')
((-7.1183, -10.67745, 4.71698), 1/2, -0.2748308, 'Y')
((-7.1183, 10.67745, 4.71698), 1/2, -0.2748308, 'Y')
((7.1183, -10.67745, 4.71698), 1/2, -0.2748308, 'Y')
((7.1183, 10.67745, 4.71698), 1/2, -0.2748308, 'Y')
((-10.67745, -7.1183, -4.71697), 1/2, -0.2748308, 'Y')
((-10.67745, 7.1183, -4.71697), 1/2, -0.2748308, 'Y')
((10.67745, -7.1183, -4.71697), 1/2, -0.2748308, 'Y')
((10.67745, 7.1183, -4.71697), 1/2, -0.2748308, 'Y')
((-7.1183, -10.67745, -4.71697), 7/2, 1.4711, 'V')
((-7.1183, 10.67745, -4.71697), 7/2, 1.4711, 'V')
((7.1183, -10.67745, -4.71697), 7/2, 1.4711, 'V')
((7.1183, 10.67745, -4.71697), 7/2, 1.4711, 'V')
((-10.67745, -7.1183, 4.71698), 7/2, 1.4711, 'V')
((-10.67745, 7.1183, 4.71698), 7/2, 1.4711, 'V')
((10.67745, -7.1183, 4.71698), 7/2, 1.4711, 'V')
((10.67745, 7.1183, 4.71698), 7/2, 1.4711, 'V')
((-7.1183, -7.1183, -9.43395), 7/2, 1.4711, 'V')
((-7.1183, -7.1183, 9.43395), 7/2, 1.4711, 'V')
((-7.1183, 7.1183, -9.43395), 7/2, 1.4711, 'V')
((-7.1183, 7.1183, 9.43395), 7/2, 1.4711, 'V')
((7.1183, -7.1183, -9.43395), 7/2, 1.4711, 'V')
((7.1183, -7.1183, 9.43395), 7/2, 1.4711, 'V')
((7.1183, 7.1183, -9.43395), 7/2, 1.4711, 'V')
((7.1183, 7.1183, 9.43395), 7/2, 1.4711, 'V')
((-14.2366, 0.0, 0.0), 1/2, -0.2748308, 'Y')
((0.0, -14.2366, 0.0), 1/2, -0.2748308, 'Y')
((0.0, 14.2366, 0.0), 1/2, -0.2748308, 'Y')
((14.2366, 0.0, 0.0), 1/2, -0.2748308, 'Y')
((-7.1183, 0.0, -12.5786), 1/2, -0.2748308, 'Y')
((-7.1183, 0.0, 12.5786), 1/2, -0.2748308, 'Y')
((0.0, -7.1183, -12.5786), 1/2, -0.2748308, 'Y')
((0.0, -7.1183, 12.5786), 1/2, -0.2748308, 'Y')
((0.0, 7.1183, -12.5786), 1/2, -0.2748308, 'Y')
((0.0, 7.1183, 12.5786), 1/2, -0.2748308, 'Y')
((7.1183, 0.0, -12.5786), 1/2, -0.2748308, 'Y')
((7.1183, 0.0, 12.5786), 1/2, -0.2748308, 'Y')
((-14.2366, 0.0, -3.14465), 7/2, 1.4711, 'V')
((-14.2366, 0.0, 3.14465), 7/2, 1.4711, 'V')
((0.0, -14.2366, -3.14465), 7/2, 1.4711, 'V')
((0.0, -14.2366, 3.14465), 7/2, 1.4711, 'V')
((0.0, 14.2366, -3.14465), 7/2, 1.4711, 'V')
((0.0, 14.2366, 3.14465), 7/2, 1.4711, 'V')
((14.2366, 0.0, -3.14465), 7/2, 1.4711, 'V')
((14.2366, 0.0, 3.14465), 7/2, 1.4711, 'V')
((0.0, -3.55915, -14.15092), 1/2, -0.2748308, 'Y')
((0.0, 3.55915, -14.15092), 1/2, -0.2748308, 'Y')
((-3.55915, 0.0, 14.15093), 1/2, -0.2748308, 'Y')
((3.55915, 0.0, 14.15093), 1/2, -0.2748308, 'Y')
((0.0, -3.55915, 14.15093), 7/2, 1.4711, 'V')
((0.0, 3.55915, 14.15093), 7/2, 1.4711, 'V')
((-3.55915, 0.0, -14.15092), 7/2, 1.4711, 'V')
((3.55915, 0.0, -14.15092), 7/2, 1.4711, 'V')
((-10.67745, -3.55915, -9.43395), 1/2, -0.2748308, 'Y')
((-10.67745, -3.55915, 9.43395), 1/2, -0.2748308, 'Y')
((-10.67745, 3.55915, -9.43395), 1/2, -0.2748308, 'Y')
((-10.67745, 3.55915, 9.43395), 1/2, -0.2748308, 'Y')
((-3.55915, -10.67745, -9.43395), 1/2, -0.2748308, 'Y')
((-3.55915, -10.67745, 9.43395), 1/2, -0.2748308, 'Y')
((-3.55915, 10.67745, -9.43395), 1/2, -0.2748308, 'Y')
((-3.55915, 10.67745, 9.43395), 1/2, -0.2748308, 'Y')
((3.55915, -10.67745, -9.43395), 1/2, -0.2748308, 'Y')
((3.55915, -10.67745, 9.43395), 1/2, -0.2748308, 'Y')
((3.55915, 10.67745, -9.43395), 1/2, -0.2748308, 'Y')
((3.55915, 10.67745, 9.43395), 1/2, -0.2748308, 'Y')
((10.67745, -3.55915, -9.43395), 1/2, -0.2748308, 'Y')
((10.67745, -3.55915, 9.43395), 1/2, -0.2748308, 'Y')
((10.67745, 3.55915, -9.43395), 1/2, -0.2748308, 'Y')
((10.67745, 3.55915, 9.43395), 1/2, -0.2748308, 'Y')
