# lower_burn_idx, upper_idx, energy, intensity
6 4 -3.8903e-02 -7.0606e-06
6 6 -3.0064e-02 -1.8796e-03
6 7 -2.8590e-02 -8.8984e-07
6 8 -2.1225e-02 -7.5285e-06
6 20 2.4863e+00 -4.1075e-08
6 22 2.4951e+00 -1.1633e-05
6 24 2.5040e+00 -4.4226e-08
7 7 -3.0018e-02 -8.8982e-07
8 6 -4.0085e-02 -3.0162e-08
8 8 -3.1246e-02 -7.5293e-06
8 10 -2.2407e-02 -2.8280e-08
8 24 2.4939e+00 -4.6611e-08
20 20 8.5762e-02 -3.7892e-08
22 6 -2.4406e+00 -5.2372e-08
22 20 7.5742e-02 -3.5617e-08
22 22 8.4583e-02 -9.9468e-06
22 24 9.3423e-02 -3.7976e-08
24 24 8.3403e-02 -3.9997e-08
0 0 -2.7990e-02 1.9165e-03
0 1 -2.6517e-02 9.0727e-07
0 2 -1.9151e-02 3.3462e-06
0 16 2.4972e+00 1.1851e-05
0 18 2.5060e+00 1.9643e-08
5 3 -3.9148e-02 -2.1233e-08
5 5 -3.0309e-02 -7.0670e-06
5 7 -2.1470e-02 -2.6518e-08
5 21 2.4949e+00 -4.3730e-08
6 6 -3.1537e-02 -8.8984e-07
7 5 -4.0330e-02 -7.0606e-06
7 6 -3.2965e-02 -8.8982e-07
7 7 -3.1491e-02 -1.8796e-03
7 9 -2.2652e-02 -7.5285e-06
7 21 2.4849e+00 -4.1075e-08
7 23 2.4937e+00 -1.1633e-05
7 25 2.5025e+00 -4.4226e-08
9 7 -4.1513e-02 -3.0161e-08
9 9 -3.2674e-02 -7.5293e-06
9 11 -2.3835e-02 -2.8280e-08
9 25 2.4925e+00 -4.6611e-08
21 21 8.4334e-02 -3.7892e-08
23 7 -2.4420e+00 -5.2373e-08
23 21 7.4314e-02 -3.5617e-08
23 23 8.3155e-02 -9.9468e-06
23 25 9.1995e-02 -3.7976e-08
25 25 8.1975e-02 -3.9998e-08
0 0 -3.5355e-02 1.9165e-03
0 1 -3.3882e-02 9.0727e-07
0 2 -2.6517e-02 3.3462e-06
