# lower_burn_idx, upper_idx, energy, intensity
0 0 -1.2374e-01 1.1963e-04
0 0 -1.1490e-01 1.1963e-04
0 0 -1.1490e-01 1.1963e-04
0 0 -1.1463e-01 -7.7473e-05
0 0 -1.1345e-01 -1.5580e-07
0 0 -1.0607e-01 1.1963e-04
0 0 -1.0607e-01 1.1963e-04
0 0 -1.0607e-01 1.1963e-04
0 0 -1.0461e-01 -7.3307e-07
0 0 -1.0461e-01 -7.3065e-07
0 0 -9.7227e-02 1.1963e-04
0 0 -9.7227e-02 1.1963e-04
0 0 -9.7227e-02 1.1963e-04
0 0 -9.7227e-02 1.1963e-04
0 0 -9.4588e-02 -7.3066e-07
0 0 -9.4588e-02 -7.3065e-07
0 0 -9.4588e-02 -7.3065e-07
0 0 -8.8388e-02 1.1963e-04
0 0 -8.8388e-02 1.1963e-04
0 0 -8.8388e-02 1.1963e-04
0 0 -8.8388e-02 1.1963e-04
0 0 -8.8388e-02 1.1963e-04
0 0 -8.4567e-02 -7.3065e-07
0 0 -8.4567e-02 -7.3065e-07
0 0 -8.4567e-02 -7.3065e-07
0 0 -8.4567e-02 -7.3065e-07
0 0 -7.9550e-02 1.1963e-04
0 0 -7.9550e-02 1.1963e-04
0 0 -7.9550e-02 1.1963e-04
0 0 -7.9550e-02 1.1963e-04
0 0 -7.9550e-02 1.1963e-04
0 0 -7.9550e-02 1.1963e-04
0 0 -7.4547e-02 -7.3065e-07
0 0 -7.4547e-02 -7.3065e-07
0 0 -7.4547e-02 -7.3065e-07
0 0 -7.4547e-02 -7.3065e-07
0 0 -7.4547e-02 -7.3065e-07
0 0 -7.0711e-02 1.1963e-04
0 0 -7.0711e-02 1.1963e-04
0 0 -7.0711e-02 1.1963e-04
0 0 -7.0711e-02 1.1963e-04
0 0 -7.0711e-02 1.1963e-04
0 0 -7.0711e-02 1.1963e-04
0 0 -7.0711e-02 1.1963e-04
0 0 -6.4526e-02 -7.3065e-07
0 0 -6.4526e-02 -7.3065e-07
0 0 -6.4526e-02 -7.3065e-07
0 0 -6.4526e-02 -7.3065e-07
0 0 -6.4526e-02 -7.3065e-07
0 0 -6.4526e-02 -7.3065e-07
0 0 -6.1872e-02 1.1963e-04
0 0 -6.1872e-02 1.1963e-04
0 0 -6.1872e-02 1.1963e-04
0 0 -6.1872e-02 1.1963e-04
0 0 -6.1872e-02 1.1963e-04
0 0 -6.1872e-02 1.1963e-04
0 0 -6.1872e-02 1.1963e-04
0 0 -6.1872e-02 1.1963e-04
0 0 -5.4506e-02 -7.3065e-07
0 0 -5.4506e-02 -7.3065e-07
0 0 -5.4506e-02 -7.3065e-07
0 0 -5.4506e-02 -7.3065e-07
