# lower_burn_idx, upper_idx, energy, intensity
8 4 -2.8881e-02 -1.4132e-06
8 8 -2.0042e-02 -4.7035e-04
8 9 -1.8569e-02 -2.2267e-07
8 10 -1.8527e-02 -2.4295e-07
8 12 -1.1204e-02 -1.7649e-06
8 40 2.5051e+00 -2.9105e-06
8 44 2.5140e+00 -1.0366e-08
9 9 -1.9996e-02 -2.2267e-07
10 10 -2.0032e-02 -2.4295e-07
12 12 -2.1225e-02 -1.7633e-06
12 44 2.5040e+00 -1.0914e-08
40 8 -2.4306e+00 -1.3102e-08
40 40 9.4601e-02 -2.4886e-06
0 0 -1.9151e-02 4.7888e-04
0 1 -1.7678e-02 2.2670e-07
0 2 -1.7636e-02 2.4737e-07
0 4 -1.0312e-02 8.3611e-07
0 32 2.5060e+00 2.9614e-06
5 5 -2.0288e-02 -1.4159e-06
8 8 -2.1516e-02 -2.2267e-07
9 5 -3.0309e-02 -1.4132e-06
9 8 -2.2944e-02 -2.2267e-07
9 9 -2.1470e-02 -4.7034e-04
9 11 -1.9955e-02 -2.4295e-07
9 13 -1.2631e-02 -1.7649e-06
9 41 2.5037e+00 -2.9105e-06
9 45 2.5126e+00 -1.0366e-08
11 11 -2.1460e-02 -2.4295e-07
13 13 -2.2652e-02 -1.7633e-06
13 45 2.5025e+00 -1.0914e-08
41 9 -2.4320e+00 -1.3102e-08
41 41 9.3173e-02 -2.4886e-06
0 0 -1.9193e-02 4.7888e-04
0 1 -1.7720e-02 2.2670e-07
0 2 -1.7678e-02 2.4737e-07
0 4 -1.0354e-02 8.3611e-07
0 32 2.5060e+00 2.9614e-06
6 6 -2.0365e-02 -1.4159e-06
8 8 -2.1558e-02 -2.4295e-07
10 6 -3.0387e-02 -1.4132e-06
10 8 -2.3063e-02 -2.4295e-07
10 10 -2.1548e-02 -4.7034e-04
10 11 -2.0074e-02 -2.2267e-07
10 14 -1.2709e-02 -1.7649e-06
10 42 2.5036e+00 -2.9104e-06
10 46 2.5125e+00 -1.0366e-08
11 11 -2.1502e-02 -2.2267e-07
14 14 -2.2730e-02 -1.7633e-06
14 46 2.5025e+00 -1.0914e-08
42 10 -2.4321e+00 -1.3101e-08
42 42 9.3096e-02 -2.4885e-06
0 0 -2.0667e-02 4.7888e-04
0 1 -1.9193e-02 2.2670e-07
0 2 -1.9151e-02 2.4737e-07
0 4 -1.1828e-02 8.3611e-07
0 32 2.5045e+00 2.9614e-06
7 7 -2.1793e-02 -1.4159e-06
9 9 -2.2985e-02 -2.4295e-07
10 10 -2.3021e-02 -2.2267e-07
11 7 -3.1814e-02 -1.4132e-06
11 9 -2.4491e-02 -2.4295e-07
11 10 -2.4449e-02 -2.2267e-07
11 11 -2.2975e-02 -4.7034e-04
11 15 -1.4136e-02 -1.7649e-06
11 43 2.5022e+00 -2.9104e-06
11 47 2.5110e+00 -1.0366e-08
15 15 -2.4158e-02 -1.7633e-06
15 47 2.5010e+00 -1.0914e-08
43 11 -2.4335e+00 -1.3101e-08
43 43 9.1668e-02 -2.4885e-06
0 0 -2.6517e-02 4.7888e-04
0 1 -2.5043e-02 2.2670e-07
