# gs_idx, es_idx, energy, intensity
7 9 -1.3814e-02 -2.8607e-08
7 23 2.5025e+00 -4.4068e-08
19 19 9.4353e-02 -3.0645e-08
21 5 -2.4320e+00 -5.3063e-08
21 19 8.4332e-02 -2.8778e-08
21 21 9.3173e-02 -1.0048e-05
21 23 1.0201e-01 -3.5941e-08
23 23 9.1993e-02 -3.7816e-08
0 0 -2.6517e-02 1.9386e-03
0 1 -2.5043e-02 9.1770e-07
0 2 -1.7678e-02 3.3847e-06
0 16 2.4987e+00 1.1951e-05
0 18 2.5075e+00 1.9808e-08
16 0 -2.4371e+00 1.0228e-05
16 2 -2.4282e+00 1.8096e-08
16 16 8.8122e-02 1.9370e-03
16 17 8.9595e-02 9.3896e-07
16 18 9.6963e-02 3.2241e-06
4 2 -3.7720e-02 -2.1477e-08
4 4 -2.8881e-02 -7.1483e-06
4 6 -2.0042e-02 -2.6824e-08
4 20 2.4963e+00 -4.4097e-08
6 4 -3.8903e-02 -7.1419e-06
6 6 -3.0064e-02 -1.9012e-03
6 7 -2.8590e-02 -9.0008e-07
6 8 -2.1225e-02 -7.6152e-06
6 20 2.4863e+00 -4.1420e-08
6 22 2.4951e+00 -1.1731e-05
6 24 2.5040e+00 -4.4598e-08
7 7 -3.0018e-02 -9.0006e-07
8 6 -4.0085e-02 -3.0509e-08
8 8 -3.1246e-02 -7.6159e-06
8 10 -2.2407e-02 -2.8605e-08
8 24 2.4939e+00 -4.7002e-08
20 20 8.5762e-02 -3.8210e-08
22 6 -2.4406e+00 -5.2975e-08
22 20 7.5742e-02 -3.5916e-08
22 22 8.4583e-02 -1.0030e-05
22 24 9.3423e-02 -3.8295e-08
24 24 8.3403e-02 -4.0333e-08
0 0 -2.7990e-02 1.9386e-03
0 1 -2.6517e-02 9.1770e-07
0 2 -1.9151e-02 3.3847e-06
0 16 2.4972e+00 1.1951e-05
0 18 2.5060e+00 1.9808e-08
16 0 -2.4385e+00 1.0228e-05
16 2 -2.4297e+00 1.8096e-08
16 16 8.6648e-02 1.9370e-03
16 17 8.8121e-02 9.3896e-07
16 18 9.5489e-02 3.2241e-06
5 3 -3.9148e-02 -2.1477e-08
5 5 -3.0309e-02 -7.1483e-06
5 7 -2.1470e-02 -2.6823e-08
5 21 2.4949e+00 -4.4097e-08
6 6 -3.1537e-02 -9.0008e-07
7 5 -4.0330e-02 -7.1419e-06
7 6 -3.2965e-02 -9.0006e-07
7 7 -3.1491e-02 -1.9012e-03
7 9 -2.2652e-02 -7.6152e-06
7 21 2.4849e+00 -4.1420e-08
7 23 2.4937e+00 -1.1731e-05
7 25 2.5025e+00 -4.4598e-08
9 7 -4.1513e-02 -3.0509e-08
9 9 -3.2674e-02 -7.6159e-06
9 11 -2.3835e-02 -2.8605e-08
9 25 2.4925e+00 -4.7003e-08
21 21 8.4334e-02 -3.8211e-08
23 7 -2.4420e+00 -5.2976e-08
23 21 7.4314e-02 -3.5916e-08
23 23 8.3155e-02 -1.0030e-05
23 25 9.1995e-02 -3.8295e-08
25 25 8.1975e-02 -4.0334e-08
0 0 -3.5355e-02 1.9386e-03
0 1 -3.3882e-02 9.1770e-07
0 2 -2.6517e-02 3.3847e-06
0 16 2.4898e+00 1.1951e-05
0 18 2.4987e+00 1.9808e-08
16 0 -2.4459e+00 1.0228e-05
16 2 -2.4371e+00 1.8096e-08
16 16 7.9283e-02 1.9370e-03
16 17 8.0756e-02 9.3896e-07
16 18 8.8124e-02 3.2241e-06
6 4 -4.7741e-02 -2.8607e-08
6 6 -3.8903e-02 -7.6152e-06
6 8 -3.0064e-02 -3.0503e-08
6 22 2.4863e+00 -4.6989e-08
8 6 -4.8924e-02 -7.6159e-06
8 8 -4.0085e-02 -1.9012e-03
8 9 -3.8611e-02 -9.0011e-07
8 10 -3.1246e-02 -7.1409e-06
8 22 2.4763e+00 -4.4178e-08
8 24 2.4851e+00 -1.1733e-05
8 26 2.4939e+00 -4.1827e-08
9 9 -4.0039e-02 -9.0009e-07
10 8 -5.0106e-02 -2.6826e-08
10 10 -4.1267e-02 -7.1487e-06
10 12 -3.2429e-02 -2.1475e-08
10 26 2.4839e+00 -4.4125e-08
22 22 7.5744e-02 -4.0715e-08
24 8 -2.4506e+00 -5.2995e-08
24 22 6.5723e-02 -3.8307e-08
24 24 7.4564e-02 -1.0032e-05
24 26 8.3405e-02 -3.5915e-08
26 26 7.3384e-02 -3.7864e-08
0 0 -3.6829e-02 1.9386e-03
0 1 -3.5355e-02 9.1770e-07
0 2 -2.7990e-02 3.3847e-06
0 16 2.4883e+00 1.1951e-05
0 18 2.4972e+00 1.9808e-08
16 0 -2.4474e+00 1.0228e-05
16 2 -2.4385e+00 1.8096e-08
16 16 7.7810e-02 1.9370e-03
16 17 7.9283e-02 9.3896e-07
16 18 8.6650e-02 3.2241e-06
7 5 -4.9169e-02 -2.8607e-08
7 7 -4.0330e-02 -7.6152e-06
7 9 -3.1491e-02 -3.0503e-08
7 23 2.4849e+00 -4.6989e-08
8 8 -4.1559e-02 -9.0011e-07
9 7 -5.0351e-02 -7.6159e-06
9 8 -4.2986e-02 -9.0009e-07
9 9 -4.1513e-02 -1.9012e-03
9 11 -3.2674e-02 -7.1408e-06
9 23 2.4748e+00 -4.4178e-08
9 25 2.4837e+00 -1.1733e-05
9 27 2.4925e+00 -4.1827e-08
11 9 -5.1534e-02 -2.6826e-08
11 11 -4.2695e-02 -7.1487e-06
11 13 -3.3856e-02 -2.1475e-08
11 27 2.4825e+00 -4.4125e-08
23 23 7.4316e-02 -4.0715e-08
25 9 -2.4520e+00 -5.2995e-08
25 23 6.4295e-02 -3.8307e-08
25 25 7.3136e-02 -1.0032e-05
25 27 8.1977e-02 -3.5916e-08
27 27 7.1956e-02 -3.7864e-08
0 0 -4.4194e-02 1.9386e-03
0 1 -4.2721e-02 9.1770e-07
0 2 -3.5355e-02 3.3847e-06
0 16 2.4810e+00 1.1951e-05
0 18 2.4898e+00 1.9808e-08
16 0 -2.4547e+00 1.0228e-05
16 2 -2.4459e+00 1.8096e-08
16 16 7.0444e-02 1.9370e-03
16 17 7.1917e-02 9.3896e-07
16 18 7.9285e-02 3.2241e-06
8 6 -5.7763e-02 -2.8605e-08
8 8 -4.8924e-02 -7.1409e-06
8 10 -4.0085e-02 -2.6821e-08
8 24 2.4763e+00 -4.4070e-08
10 8 -5.8945e-02 -7.1487e-06
10 10 -5.0106e-02 -1.9050e-03
10 11 -4.8633e-02 -9.0193e-07
10 12 -4.1267e-02 -5.7225e-06
10 24 2.4662e+00 -4.1475e-08
10 26 2.4751e+00 -1.1758e-05
10 28 2.4839e+00 -3.3524e-08
11 11 -5.0060e-02 -9.0191e-07
12 10 -6.0127e-02 -1.7194e-08
12 12 -5.1289e-02 -5.7345e-06
12 14 -4.2450e-02 -1.0041e-08
12 28 2.4739e+00 -3.5399e-08
24 24 6.5725e-02 -3.8186e-08
26 10 -2.4606e+00 -5.3121e-08
26 24 5.5705e-02 -3.5963e-08
26 26 6.4545e-02 -1.0054e-05
26 28 7.3386e-02 -2.8786e-08
28 28 6.3366e-02 -3.0377e-08
0 0 -4.5668e-02 1.9386e-03
0 1 -4.4194e-02 9.1770e-07
0 2 -3.6829e-02 3.3847e-06
0 16 2.4795e+00 1.1951e-05
0 18 2.4884e+00 1.9808e-08
16 0 -2.4562e+00 1.0228e-05
16 2 -2.4474e+00 1.8096e-08
16 16 6.8971e-02 1.9370e-03
16 17 7.0444e-02 9.3896e-07
16 18 7.7811e-02 3.2241e-06
9 7 -5.9190e-02 -2.8605e-08
9 9 -5.0351e-02 -7.1408e-06
9 11 -4.1513e-02 -2.6821e-08
9 25 2.4748e+00 -4.4071e-08
10 10 -5.1580e-02 -9.0193e-07
11 9 -6.0373e-02 -7.1487e-06
11 10 -5.3007e-02 -9.0191e-07
11 11 -5.1534e-02 -1.9050e-03
11 13 -4.2695e-02 -5.7225e-06
11 25 2.4648e+00 -4.1475e-08
11 27 2.4737e+00 -1.1758e-05
11 29 2.4825e+00 -3.3525e-08
13 11 -6.1555e-02 -1.7194e-08
13 13 -5.2716e-02 -5.7345e-06
13 15 -4.3877e-02 -1.0041e-08
13 29 2.4725e+00 -3.5399e-08
25 25 6.4297e-02 -3.8187e-08
27 11 -2.4621e+00 -5.3122e-08
27 25 5.4277e-02 -3.5963e-08
27 27 6.3117e-02 -1.0054e-05
27 29 7.1958e-02 -2.8786e-08
29 29 6.1938e-02 -3.0377e-08
0 0 -5.3033e-02 1.9386e-03
0 1 -5.1559e-02 9.1770e-07
0 2 -4.4194e-02 3.3847e-06
0 16 2.4721e+00 1.1951e-05
0 18 2.4810e+00 1.9808e-08
16 0 -2.4636e+00 1.0228e-05
16 2 -2.4547e+00 1.8096e-08
16 16 6.1605e-02 1.9370e-03
16 17 6.3079e-02 9.3896e-07
16 18 7.0446e-02 3.2241e-06
10 8 -6.7784e-02 -2.1475e-08
10 10 -5.8945e-02 -5.7225e-06
10 12 -5.0106e-02 -1.7190e-08
10 26 2.4662e+00 -3.5322e-08
12 10 -6.8966e-02 -5.7345e-06
12 12 -6.0127e-02 -1.9126e-03
12 13 -5.8654e-02 -9.0557e-07
12 14 -5.1289e-02 -3.3489e-06
12 26 2.4562e+00 -3.3275e-08
12 28 2.4651e+00 -1.1806e-05
12 30 2.4739e+00 -1.9621e-08
13 13 -6.0081e-02 -9.0555e-07
14 14 -6.1310e-02 -3.3593e-06
14 30 2.4639e+00 -2.0737e-08
26 26 5.5707e-02 -3.0606e-08
28 12 -2.4707e+00 -5.3355e-08
28 26 4.5686e-02 -2.8854e-08
28 28 5.4527e-02 -1.0095e-05
28 30 6.3368e-02 -1.6848e-08
30 30 5.3347e-02 -1.7796e-08
0 0 -5.4507e-02 1.9386e-03
0 1 -5.3033e-02 9.1770e-07
0 2 -4.5668e-02 3.3847e-06
0 16 2.4707e+00 1.1951e-05
0 18 2.4795e+00 1.9808e-08
16 0 -2.4650e+00 1.0228e-05
16 2 -2.4562e+00 1.8096e-08
16 16 6.0132e-02 1.9370e-03
16 17 6.1605e-02 9.3896e-07
16 18 6.8973e-02 3.2241e-06
11 9 -6.9211e-02 -2.1475e-08
11 11 -6.0373e-02 -5.7225e-06
11 13 -5.1534e-02 -1.7190e-08
11 27 2.4648e+00 -3.5322e-08
12 12 -6.1601e-02 -9.0557e-07
13 11 -7.0394e-02 -5.7345e-06
13 12 -6.3029e-02 -9.0555e-07
13 13 -6.1555e-02 -1.9126e-03
13 15 -5.2716e-02 -3.3489e-06
13 27 2.4548e+00 -3.3276e-08
13 29 2.4636e+00 -1.1807e-05
13 31 2.4725e+00 -1.9621e-08
15 15 -6.2737e-02 -3.3593e-06
15 31 2.4625e+00 -2.0738e-08
27 27 5.4279e-02 -3.0606e-08
29 13 -2.4721e+00 -5.3356e-08
29 27 4.4258e-02 -2.8854e-08
29 29 5.3099e-02 -1.0095e-05
29 31 6.1940e-02 -1.6849e-08
31 31 5.1919e-02 -1.7796e-08
0 0 -6.1872e-02 1.9386e-03
0 1 -6.0398e-02 9.1770e-07
0 2 -5.3033e-02 3.3847e-06
0 16 2.4633e+00 1.1951e-05
0 18 2.4721e+00 1.9808e-08
16 0 -2.4724e+00 1.0228e-05
16 2 -2.4636e+00 1.8096e-08
16 16 5.2767e-02 1.9370e-03
