# gs_idx, es_idx, energy, intensity
4 4 -4.8924e-02 -2.8590e-05
4 5 -4.0085e-02 -1.0739e-07
4 12 2.4763e+00 -1.7645e-07
5 3 -6.7784e-02 -2.8579e-08
5 4 -5.8945e-02 -2.8622e-05
5 5 -5.0106e-02 -7.6271e-03
5 6 -4.1267e-02 -2.2912e-05
5 7 -3.2429e-02 -1.0014e-08
5 12 2.4662e+00 -1.6606e-07
5 13 2.4751e+00 -4.7079e-05
5 14 2.4839e+00 -1.3423e-07
6 5 -6.0127e-02 -6.8840e-08
6 6 -5.1289e-02 -2.2960e-05
6 7 -4.2450e-02 -4.0202e-08
6 14 2.4739e+00 -1.4173e-07
7 7 -5.2471e-02 -1.0062e-08
12 12 6.5725e-02 -1.5289e-07
13 5 -2.4606e+00 -2.1269e-07
13 12 5.5704e-02 -1.4399e-07
13 13 6.4545e-02 -4.0253e-05
13 14 7.3386e-02 -1.1526e-07
14 14 6.3365e-02 -1.2162e-07
0 0 -5.3033e-02 7.7579e-03
0 1 -4.4194e-02 1.3545e-05
0 2 -3.5355e-02 1.0137e-08
0 8 2.4721e+00 4.7826e-05
0 9 2.4810e+00 7.9272e-08
8 0 -2.4636e+00 4.0931e-05
8 1 -2.4547e+00 7.2420e-08
8 8 6.1605e-02 7.7517e-03
8 9 7.0446e-02 1.2903e-05
4 4 -5.7763e-02 -2.1424e-08
5 4 -6.7784e-02 -8.5980e-08
5 5 -5.8945e-02 -2.2912e-05
5 6 -5.0106e-02 -6.8827e-08
5 13 2.4662e+00 -1.4142e-07
6 4 -7.7805e-02 -2.1483e-08
6 5 -6.8966e-02 -2.2960e-05
6 6 -6.0127e-02 -7.6577e-03
6 7 -5.1289e-02 -1.3408e-05
6 13 2.4562e+00 -1.3323e-07
6 14 2.4651e+00 -4.7271e-05
6 15 2.4739e+00 -7.8561e-08
7 6 -7.0149e-02 -2.3482e-08
7 7 -6.1310e-02 -1.3450e-05
7 15 2.4639e+00 -8.3030e-08
13 13 5.5706e-02 -1.2254e-07
14 6 -2.4707e+00 -2.1362e-07
14 13 4.5686e-02 -1.1552e-07
14 14 5.4527e-02 -4.0419e-05
14 15 6.3367e-02 -6.7459e-08
15 15 5.3347e-02 -7.1252e-08
0 0 -6.1872e-02 7.7579e-03
0 1 -5.3033e-02 1.3545e-05
0 2 -4.4194e-02 1.0137e-08
0 8 2.4633e+00 4.7826e-05
0 9 2.4721e+00 7.9272e-08
8 0 -2.4724e+00 4.0931e-05
8 1 -2.4636e+00 7.2420e-08
8 8 5.2766e-02 7.7517e-03
8 9 6.1607e-02 1.2903e-05
5 5 -6.7784e-02 -1.0014e-08
6 5 -7.7805e-02 -4.0202e-08
6 6 -6.8966e-02 -1.3408e-05
6 7 -6.0127e-02 -2.3478e-08
6 14 2.4562e+00 -8.2771e-08
7 5 -8.7826e-02 -1.0062e-08
7 6 -7.8988e-02 -1.3450e-05
7 7 -7.0149e-02 -7.7037e-03
7 14 2.4462e+00 -7.8055e-08
7 15 2.4550e+00 -4.7557e-05
14 14 4.5688e-02 -7.1721e-08
15 7 -2.4807e+00 -2.1500e-07
15 14 3.5667e-02 -6.7684e-08
15 15 4.4508e-02 -4.0664e-05
1 0 0.0000e+00 1.3546e-05
1 1 8.8388e-03 7.7347e-03
1 2 1.7678e-02 2.3191e-05
1 3 2.6517e-02 2.1708e-08
1 8 2.5252e+00 7.8526e-08
1 9 2.5340e+00 4.7700e-05
1 10 2.5429e+00 1.3576e-07
9 0 -2.4105e+00 7.1741e-08
9 1 -2.4017e+00 4.0815e-05
9 2 -2.3929e+00 1.2401e-07
9 8 1.1464e-01 1.2905e-05
9 9 1.2348e-01 7.7296e-03
9 10 1.3232e-01 2.2092e-05
9 11 1.4116e-01 1.9715e-08
0 0 1.0021e-02 -7.7038e-03
0 1 1.8860e-02 -1.3450e-05
0 2 2.7699e-02 -1.0067e-08
0 8 2.5352e+00 -4.7492e-05
0 9 2.5440e+00 -7.8719e-08
2 2 7.6564e-03 -1.0014e-08
8 0 -2.4005e+00 -2.1444e-07
8 8 1.2466e-01 -4.0612e-05
8 9 1.3350e-01 -6.7600e-08
1 0 -8.8388e-03 1.3546e-05
1 1 0.0000e+00 7.7347e-03
1 2 8.8388e-03 2.3191e-05
1 3 1.7678e-02 2.1708e-08
1 8 2.5163e+00 7.8526e-08
1 9 2.5252e+00 4.7700e-05
1 10 2.5340e+00 1.3576e-07
9 0 -2.4194e+00 7.1741e-08
9 1 -2.4105e+00 4.0815e-05
9 2 -2.4017e+00 1.2401e-07
9 8 1.0580e-01 1.2905e-05
9 9 1.1464e-01 7.7296e-03
9 10 1.2348e-01 2.2092e-05
9 11 1.3232e-01 1.9715e-08
0 0 1.1824e-03 -1.3450e-05
0 1 1.0021e-02 -2.3484e-08
0 8 2.5264e+00 -8.2920e-08
2 1 -1.0021e-02 -6.8853e-08
2 2 -1.1824e-03 -2.2916e-05
2 3 7.6564e-03 -8.5991e-08
2 10 2.5240e+00 -1.4137e-07
3 3 -2.3648e-03 -2.1422e-08
8 8 1.1582e-01 -7.1856e-08
10 10 1.1346e-01 -1.2131e-07
1 0 -1.7678e-02 1.3546e-05
1 1 -8.8388e-03 7.7347e-03
1 2 0.0000e+00 2.3191e-05
1 3 8.8388e-03 2.1708e-08
1 8 2.5075e+00 7.8526e-08
1 9 2.5163e+00 4.7700e-05
1 10 2.5252e+00 1.3576e-07
9 0 -2.4282e+00 7.1741e-08
9 1 -2.4194e+00 4.0815e-05
9 2 -2.4105e+00 1.2401e-07
9 8 9.6961e-02 1.2905e-05
9 9 1.0580e-01 7.7296e-03
9 10 1.1464e-01 2.2092e-05
9 11 1.2348e-01 1.9715e-08
0 0 -7.6564e-03 -1.0067e-08
2 0 -2.7699e-02 -1.0014e-08
2 1 -1.8860e-02 -2.2916e-05
2 2 -1.0021e-02 -7.6272e-03
2 3 -1.1824e-03 -2.8620e-05
2 4 7.6564e-03 -2.8587e-08
2 9 2.5063e+00 -1.3288e-07
2 10 2.5152e+00 -4.7052e-05
2 11 2.5240e+00 -1.6758e-07
3 2 -2.0042e-02 -1.0742e-07
3 3 -1.1204e-02 -2.8595e-05
3 4 -2.3648e-03 -1.1454e-07
3 11 2.5140e+00 -1.7644e-07
4 4 -1.2386e-02 -2.8552e-08
10 2 -2.4206e+00 -2.1245e-07
10 9 9.5781e-02 -1.1522e-07
10 10 1.0462e-01 -4.0231e-05
10 11 1.1346e-01 -1.4390e-07
11 11 1.0344e-01 -1.5141e-07
1 0 -2.6517e-02 1.3546e-05
1 1 -1.7678e-02 7.7347e-03
1 2 -8.8388e-03 2.3191e-05
1 3 0.0000e+00 2.1708e-08
1 8 2.4987e+00 7.8526e-08
1 9 2.5075e+00 4.7700e-05
1 10 2.5163e+00 1.3576e-07
9 0 -2.4371e+00 7.1741e-08
9 1 -2.4282e+00 4.0815e-05
9 2 -2.4194e+00 1.2401e-07
9 8 8.8122e-02 1.2905e-05
9 9 9.6963e-02 7.7296e-03
9 10 1.0580e-01 2.2092e-05
9 11 1.1464e-01 1.9715e-08
2 1 -2.7699e-02 -8.5991e-08
2 2 -1.8860e-02 -2.8620e-05
2 3 -1.0021e-02 -1.0740e-07
2 10 2.5063e+00 -1.7656e-07
3 1 -3.7720e-02 -2.1422e-08
3 2 -2.8881e-02 -2.8595e-05
3 3 -2.0042e-02 -7.6119e-03
3 4 -1.1204e-02 -3.0490e-05
3 5 -2.3648e-03 -2.8557e-08
3 10 2.4963e+00 -1.6584e-07
3 11 2.5051e+00 -4.6969e-05
3 12 2.5140e+00 -1.7856e-07
4 3 -3.0064e-02 -1.2215e-07
4 4 -2.1225e-02 -3.0493e-05
4 5 -1.2386e-02 -1.1453e-07
4 12 2.5040e+00 -1.8819e-07
5 5 -2.2407e-02 -2.8579e-08
10 10 9.5783e-02 -1.5299e-07
11 3 -2.4306e+00 -2.1210e-07
11 10 8.5763e-02 -1.4380e-07
11 11 9.4604e-02 -4.0160e-05
11 12 1.0344e-01 -1.5333e-07
12 12 9.3424e-02 -1.6149e-07
1 0 -3.5355e-02 1.3546e-05
1 1 -2.6517e-02 7.7347e-03
1 2 -1.7678e-02 2.3191e-05
1 3 -8.8388e-03 2.1708e-08
1 8 2.4898e+00 7.8526e-08
1 9 2.4987e+00 4.7700e-05
1 10 2.5075e+00 1.3576e-07
9 0 -2.4459e+00 7.1741e-08
9 1 -2.4371e+00 4.0815e-05
9 2 -2.4282e+00 1.2401e-07
9 8 7.9284e-02 1.2905e-05
9 9 8.8124e-02 7.7296e-03
9 10 9.6965e-02 2.2092e-05
9 11 1.0581e-01 1.9715e-08
2 2 -2.7699e-02 -2.8587e-08
3 2 -3.7720e-02 -1.1454e-07
