# gs_idx, es_idx, energy, intensity
75 75 7.4555e-02 -6.1653e-07
0 0 -3.5355e-02 1.2101e-04
0 1 -2.6517e-02 4.2258e-07
0 64 2.4898e+00 7.4555e-07
64 0 -2.4459e+00 6.3801e-07
64 64 7.9274e-02 1.2092e-04
64 65 8.8114e-02 4.0258e-07
8 8 -3.8903e-02 -5.3613e-07
12 8 -4.8924e-02 -5.3431e-07
12 12 -4.0085e-02 -1.1828e-04
12 17 -3.1246e-02 -7.1126e-07
12 76 2.4851e+00 -7.2963e-07
17 17 -4.1267e-02 -7.0955e-07
76 76 7.4555e-02 -6.2383e-07
0 0 -3.5355e-02 1.2101e-04
0 1 -2.6517e-02 4.2258e-07
0 64 2.4898e+00 7.4555e-07
64 0 -2.4459e+00 6.3801e-07
64 64 7.9274e-02 1.2092e-04
64 65 8.8114e-02 4.0258e-07
9 9 -3.8903e-02 -2.4007e-07
13 9 -4.8924e-02 -2.3926e-07
13 13 -4.0085e-02 -1.1947e-04
13 18 -3.1246e-02 -4.1802e-07
13 77 2.4851e+00 -7.3675e-07
18 18 -4.1267e-02 -4.1702e-07
77 77 7.4555e-02 -6.2998e-07
0 0 -3.5355e-02 1.2101e-04
0 1 -2.6517e-02 4.2258e-07
0 64 2.4898e+00 7.4555e-07
64 0 -2.4459e+00 6.3801e-07
64 64 7.9274e-02 1.2092e-04
64 65 8.8114e-02 4.0258e-07
14 14 -4.0085e-02 -1.2043e-04
14 19 -3.1246e-02 -1.8023e-07
14 78 2.4851e+00 -7.4250e-07
19 19 -4.1267e-02 -1.7980e-07
78 78 7.4555e-02 -6.3493e-07
0 0 -4.4194e-02 1.2101e-04
0 1 -3.5355e-02 4.2258e-07
0 64 2.4810e+00 7.4555e-07
64 0 -2.4547e+00 6.3801e-07
64 64 7.0435e-02 1.2092e-04
64 65 7.9276e-02 4.0258e-07
10 6 -5.7763e-02 -1.6151e-08
10 10 -4.8924e-02 -1.4531e-06
10 15 -4.0085e-02 -1.8323e-08
15 10 -5.8945e-02 -1.4496e-06
15 15 -5.0106e-02 -1.1467e-04
15 21 -4.1267e-02 -1.5639e-06
15 79 2.4751e+00 -7.0806e-07
21 15 -6.0127e-02 -2.1333e-08
