# gs_idx, es_idx, energy, intensity
7 6 -1.4428e-02 -2.2612e-07
7 7 -1.2954e-02 -4.7766e-04
7 11 -4.1152e-03 -1.4322e-06
7 39 2.5122e+00 -2.9457e-06
11 11 -1.4136e-02 -1.4294e-06
39 7 -2.4235e+00 -1.3300e-08
39 39 1.0169e-01 -2.5188e-06
0 0 -1.7678e-02 4.8439e-04
0 1 -1.6204e-02 2.2931e-07
0 2 -1.6162e-02 2.5021e-07
0 4 -8.8388e-03 8.4573e-07
0 32 2.5075e+00 2.9862e-06
32 0 -2.4282e+00 2.5557e-06
32 32 9.6960e-02 4.8400e-04
32 33 9.8433e-02 2.3462e-07
32 34 9.8477e-02 2.4414e-07
32 36 1.0580e-01 8.0563e-07
4 4 -1.8860e-02 -1.4321e-06
8 4 -2.8881e-02 -1.4294e-06
8 8 -2.0042e-02 -4.7576e-04
8 9 -1.8569e-02 -2.2523e-07
8 10 -1.8527e-02 -2.4575e-07
8 12 -1.1204e-02 -1.7852e-06
8 40 2.5051e+00 -2.9349e-06
8 44 2.5140e+00 -1.0453e-08
9 9 -1.9996e-02 -2.2523e-07
10 10 -2.0032e-02 -2.4575e-07
12 12 -2.1225e-02 -1.7836e-06
12 44 2.5040e+00 -1.1006e-08
40 8 -2.4306e+00 -1.3252e-08
40 40 9.4601e-02 -2.5095e-06
0 0 -1.9151e-02 4.8439e-04
0 1 -1.7678e-02 2.2931e-07
0 2 -1.7636e-02 2.5021e-07
0 4 -1.0312e-02 8.4573e-07
0 32 2.5060e+00 2.9862e-06
32 0 -2.4297e+00 2.5557e-06
32 32 9.5487e-02 4.8400e-04
32 33 9.6960e-02 2.3462e-07
32 34 9.7003e-02 2.4414e-07
32 36 1.0433e-01 8.0563e-07
5 5 -2.0288e-02 -1.4321e-06
8 8 -2.1516e-02 -2.2523e-07
9 5 -3.0309e-02 -1.4294e-06
9 8 -2.2944e-02 -2.2523e-07
9 9 -2.1470e-02 -4.7576e-04
9 11 -1.9955e-02 -2.4575e-07
9 13 -1.2631e-02 -1.7852e-06
9 41 2.5037e+00 -2.9350e-06
9 45 2.5126e+00 -1.0453e-08
11 11 -2.1460e-02 -2.4575e-07
13 13 -2.2652e-02 -1.7836e-06
13 45 2.5025e+00 -1.1006e-08
41 9 -2.4320e+00 -1.3252e-08
41 41 9.3173e-02 -2.5095e-06
0 0 -1.9193e-02 4.8439e-04
0 1 -1.7720e-02 2.2931e-07
0 2 -1.7678e-02 2.5021e-07
0 4 -1.0354e-02 8.4573e-07
0 32 2.5060e+00 2.9862e-06
32 0 -2.4297e+00 2.5557e-06
32 32 9.5445e-02 4.8400e-04
32 33 9.6918e-02 2.3462e-07
32 34 9.6961e-02 2.4414e-07
32 36 1.0429e-01 8.0563e-07
6 6 -2.0365e-02 -1.4322e-06
8 8 -2.1558e-02 -2.4575e-07
10 6 -3.0387e-02 -1.4294e-06
10 8 -2.3063e-02 -2.4575e-07
10 10 -2.1548e-02 -4.7576e-04
10 11 -2.0074e-02 -2.2523e-07
10 14 -1.2709e-02 -1.7852e-06
10 42 2.5036e+00 -2.9349e-06
10 46 2.5125e+00 -1.0453e-08
11 11 -2.1502e-02 -2.2523e-07
14 14 -2.2730e-02 -1.7836e-06
14 46 2.5025e+00 -1.1006e-08
42 10 -2.4321e+00 -1.3251e-08
42 42 9.3096e-02 -2.5094e-06
0 0 -2.0667e-02 4.8439e-04
0 1 -1.9193e-02 2.2931e-07
0 2 -1.9151e-02 2.5021e-07
0 4 -1.1828e-02 8.4573e-07
0 32 2.5045e+00 2.9862e-06
32 0 -2.4312e+00 2.5557e-06
32 32 9.3971e-02 4.8400e-04
32 33 9.5444e-02 2.3462e-07
32 34 9.5488e-02 2.4414e-07
32 36 1.0281e-01 8.0563e-07
7 7 -2.1793e-02 -1.4322e-06
9 9 -2.2985e-02 -2.4575e-07
10 10 -2.3021e-02 -2.2523e-07
11 7 -3.1814e-02 -1.4294e-06
11 9 -2.4491e-02 -2.4575e-07
11 10 -2.4449e-02 -2.2523e-07
11 11 -2.2975e-02 -4.7576e-04
11 15 -1.4136e-02 -1.7852e-06
11 43 2.5022e+00 -2.9349e-06
11 47 2.5110e+00 -1.0453e-08
15 15 -2.4158e-02 -1.7836e-06
15 47 2.5010e+00 -1.1006e-08
43 11 -2.4335e+00 -1.3252e-08
43 43 9.1668e-02 -2.5094e-06
0 0 -2.6517e-02 4.8439e-04
0 1 -2.5043e-02 2.2931e-07
0 2 -2.5001e-02 2.5021e-07
0 4 -1.7678e-02 8.4573e-07
0 32 2.4987e+00 2.9862e-06
32 0 -2.4371e+00 2.5557e-06
32 32 8.8122e-02 4.8400e-04
32 33 8.9595e-02 2.3462e-07
32 34 8.9638e-02 2.4414e-07
32 36 9.6962e-02 8.0563e-07
8 8 -2.8881e-02 -1.7852e-06
8 40 2.4963e+00 -1.1013e-08
12 8 -3.8903e-02 -1.7836e-06
12 12 -3.0064e-02 -4.7481e-04
12 13 -2.8590e-02 -2.2479e-07
12 14 -2.8548e-02 -2.4526e-07
12 16 -2.1225e-02 -1.9018e-06
12 40 2.4863e+00 -1.0345e-08
12 44 2.4951e+00 -2.9298e-06
12 48 2.5040e+00 -1.1138e-08
13 13 -3.0018e-02 -2.2478e-07
14 14 -3.0054e-02 -2.4526e-07
16 16 -3.1246e-02 -1.9020e-06
16 48 2.4939e+00 -1.1739e-08
44 12 -2.4406e+00 -1.3230e-08
44 44 8.4582e-02 -2.5050e-06
48 48 8.3402e-02 -1.0073e-08
0 0 -2.7990e-02 4.8439e-04
0 1 -2.6517e-02 2.2931e-07
0 2 -2.6475e-02 2.5021e-07
0 4 -1.9151e-02 8.4573e-07
0 32 2.4972e+00 2.9862e-06
32 0 -2.4385e+00 2.5557e-06
32 32 8.6648e-02 4.8400e-04
32 33 8.8121e-02 2.3462e-07
32 34 8.8164e-02 2.4414e-07
32 36 9.5489e-02 8.0563e-07
9 9 -3.0309e-02 -1.7852e-06
9 41 2.4949e+00 -1.1013e-08
12 12 -3.1537e-02 -2.2479e-07
13 9 -4.0330e-02 -1.7836e-06
13 12 -3.2965e-02 -2.2478e-07
13 13 -3.1491e-02 -4.7481e-04
13 15 -2.9976e-02 -2.4526e-07
13 17 -2.2652e-02 -1.9018e-06
13 41 2.4849e+00 -1.0345e-08
13 45 2.4937e+00 -2.9298e-06
13 49 2.5025e+00 -1.1138e-08
15 15 -3.1481e-02 -2.4526e-07
17 17 -3.2674e-02 -1.9020e-06
17 49 2.4925e+00 -1.1739e-08
45 13 -2.4420e+00 -1.3231e-08
45 45 8.3154e-02 -2.5051e-06
49 49 8.1974e-02 -1.0073e-08
0 0 -2.8032e-02 4.8439e-04
0 1 -2.6558e-02 2.2931e-07
0 2 -2.6517e-02 2.5021e-07
0 4 -1.9193e-02 8.4573e-07
0 32 2.4971e+00 2.9862e-06
32 0 -2.4386e+00 2.5557e-06
32 32 8.6606e-02 4.8400e-04
32 33 8.8079e-02 2.3462e-07
32 34 8.8122e-02 2.4414e-07
32 36 9.5447e-02 8.0563e-07
10 10 -3.0387e-02 -1.7852e-06
10 42 2.4948e+00 -1.1013e-08
12 12 -3.1579e-02 -2.4526e-07
14 10 -4.0408e-02 -1.7836e-06
14 12 -3.3084e-02 -2.4526e-07
14 14 -3.1569e-02 -4.7481e-04
14 15 -3.0095e-02 -2.2479e-07
14 18 -2.2730e-02 -1.9018e-06
14 42 2.4848e+00 -1.0344e-08
14 46 2.4936e+00 -2.9297e-06
14 50 2.5025e+00 -1.1138e-08
15 15 -3.1523e-02 -2.2478e-07
18 18 -3.2751e-02 -1.9020e-06
18 50 2.4924e+00 -1.1738e-08
46 14 -2.4421e+00 -1.3230e-08
46 46 8.3078e-02 -2.5050e-06
50 50 8.1898e-02 -1.0073e-08
0 0 -2.9506e-02 4.8439e-04
0 1 -2.8032e-02 2.2931e-07
0 2 -2.7990e-02 2.5021e-07
0 4 -2.0667e-02 8.4573e-07
0 32 2.4957e+00 2.9862e-06
32 0 -2.4400e+00 2.5557e-06
32 32 8.5132e-02 4.8400e-04
32 33 8.6606e-02 2.3462e-07
32 34 8.6649e-02 2.4414e-07
32 36 9.3973e-02 8.0563e-07
11 11 -3.1814e-02 -1.7852e-06
11 43 2.4934e+00 -1.1013e-08
13 13 -3.3007e-02 -2.4526e-07
14 14 -3.3043e-02 -2.2479e-07
15 11 -4.1835e-02 -1.7836e-06
15 13 -3.4512e-02 -2.4526e-07
15 14 -3.4470e-02 -2.2478e-07
15 15 -3.2997e-02 -4.7481e-04
